URL,Price,Rooms,Baths,Area,Lat,Lon,Floor,Finishing,Governate,Neighbourhood
https://aqarmap.com.eg/ar/listing/6104879-for-sale-cairo-new-cairo-lmstqbl-syty-compounds-monark-compound-royal/,10036000,3,3,195,30.081855,31.555234,1,بدون تشطيب,القاهرة الكبرى,مونارك ريزيدنس 
https://aqarmap.com.eg/ar/listing/6289932-for-sale-red-sea-hurghada-resorts-one-7-resort-ronberg/,9660000,3,1,134,27.111423,33.818418,1,سوبر لوكس,البحر الأحمر,  منتجع وان سيفن 
https://aqarmap.com.eg/ar/listing/6234507-for-sale-red-sea-hurghada-resorts-long-beach-residence-eitc/,6294876,1,1,78,27.082082,33.851377,1,سوبر لوكس,البحر الأحمر,  لونج بيتش ريزيدنس 
https://aqarmap.com.eg/ar/listing/6086487-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,4128000,2,1,96,27.218941,33.834897,1,سوبر لوكس,البحر الأحمر,  منتجع ايكونك 
https://aqarmap.com.eg/ar/listing/6124611-for-sale-red-sea-hy-lkwthr/,3960000,2,1,99,27.22871,33.834897,2,اكسترا سوبر لوكس,البحر الأحمر,  حي الكوثر
https://aqarmap.com.eg/ar/listing/6331526-for-sale-red-sea-el-ahyaa/,2688000,1,1,64,27.248246,33.829404,1,سوبر لوكس,البحر الأحمر,  الاحياء
https://aqarmap.com.eg/ar/listing/6118041-for-sale-red-sea-hurghada-resorts-one-7-resort-ronberg/,6838000,2,1,110,27.111423,33.818418,1,سوبر لوكس,البحر الأحمر,  منتجع وان سيفن 
https://aqarmap.com.eg/ar/listing/6118312-for-sale-red-sea-hurghada-resorts-platinum-resort/,7287500,2,2,106,27.13098,33.812925,1,سوبر لوكس,البحر الأحمر,  منتجع بلاتينيوم 
https://aqarmap.com.eg/ar/listing/6118460-for-sale-red-sea-hurghada-resorts-platinum-resort/,7364500,2,2,103,27.13098,33.812925,2,سوبر لوكس,البحر الأحمر,  منتجع بلاتينيوم 
https://aqarmap.com.eg/ar/listing/6118757-for-sale-red-sea-sahl-hasheesh-sahl-hasheesh-resorts-veranda/,7314400,1,1,89,27.042949,33.87335,1,سوبر لوكس,البحر الأحمر,  منتجع فيراندا 
