URL,Price,Address,Rooms,Baths,Area,Lat,Lon,Floor,Finishing
https://aqarmap.com.eg/ar/listing/6520575-for-sale-cairo-new-cairo-el-andalous-al-andalus-1/,"2,500,000
    جنيه",القاهرة الكبرى  /  الأندلس 1,3,2,120,29.99626,31.511289,1,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6462774-for-sale-cairo-new-cairo-madinaty-first-zone-buildings/,"13,500,000
    جنيه",القاهرة الكبرى  /  طريق مدينتي,4,4,238,30.100866,31.610166,الارضي,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6183368-for-sale-red-sea-hurghada-resorts-senzo-mall/,"5,190,900
    جنيه",البحر الأحمر  /  سينزو مول,1,1,66,27.101644,33.829404,2,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6104879-for-sale-cairo-new-cairo-lmstqbl-syty-compounds-monark-compound-royal/,"10,036,000
    جنيه",مونارك ريزيدنس - رويال,3,3,195,30.081855,31.555234,1,بدون تشطيب
https://aqarmap.com.eg/ar/listing/6289932-for-sale-red-sea-hurghada-resorts-one-7-resort-ronberg/,"9,660,000
    جنيه",البحر الأحمر  /  منتجع وان سيفن - كرونبرج,3,1,134,27.111423,33.818418,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6234507-for-sale-red-sea-hurghada-resorts-long-beach-residence-eitc/,"6,294,876
    جنيه",البحر الأحمر  /  لونج بيتش ريزيدنس - ايه اي تي سي,1,1,78,27.082082,33.851377,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6086487-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,"4,128,000
    جنيه",البحر الأحمر  /  منتجع ايكونك - امبرور,2,1,96,27.218941,33.834897,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6124611-for-sale-red-sea-hy-lkwthr/,"3,960,000
    جنيه",البحر الأحمر  /  حي الكوثر,2,1,99,27.22871,33.834897,2,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6331526-for-sale-red-sea-el-ahyaa/,"2,688,000
    جنيه",البحر الأحمر  /  الاحياء,1,1,64,27.248246,33.829404,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6118041-for-sale-red-sea-hurghada-resorts-one-7-resort-ronberg/,"6,838,000
    جنيه",البحر الأحمر  /  منتجع وان سيفن - كرونبرج,2,1,110,27.111423,33.818418,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6118312-for-sale-red-sea-hurghada-resorts-platinum-resort/,"7,287,500
    جنيه",البحر الأحمر  /  منتجع بلاتينيوم - اوربت جروب,2,2,106,27.13098,33.812925,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6118460-for-sale-red-sea-hurghada-resorts-platinum-resort/,"7,364,500
    جنيه",البحر الأحمر  /  منتجع بلاتينيوم - اوربت جروب,2,2,103,27.13098,33.812925,2,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6118757-for-sale-red-sea-sahl-hasheesh-sahl-hasheesh-resorts-veranda/,"7,314,400
    جنيه",البحر الأحمر  /  منتجع فيراندا - انرشيا,1,1,89,27.042949,33.87335,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6104246-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,"3,212,000
    جنيه",البحر الأحمر  /  منتجع ايكونك - امبرور,1,1,73,27.218941,33.834897,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6104952-for-sale-red-sea-hurghada-resorts-florenza-khamsin-eitc/,"5,829,595
    جنيه",البحر الأحمر  /  منتجع فلورنزا خمسين - ايه اي تي سي,2,1,116,27.1994,33.840391,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6105072-for-sale-red-sea-hurghada-resorts/,"5,067,314
    جنيه",البحر الأحمر  /  منتجع سكانديك - ايه اي تي سي,2,1,101,27.1994,33.840391,4,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6089705-for-sale-red-sea-hy-lkwthr/,"3,645,000
    جنيه",البحر الأحمر  /  حي الكوثر,2,1,90,27.22871,33.834897,3,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6080686-for-sale-red-sea-hy-lkwthr/,"2,695,000
    جنيه",البحر الأحمر  /  حي الكوثر,1,1,55,27.22871,33.834897,4,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6089764-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,"3,182,000
    جنيه",البحر الأحمر  /  منتجع ايكونك - امبرور,1,1,74,27.218941,33.834897,2,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6089298-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,"3,139,000
    جنيه",البحر الأحمر  /  منتجع ايكونك - امبرور,1,1,73,27.218941,33.834897,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6088958-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,"4,576,000
    جنيه",البحر الأحمر  /  منتجع ايكونك - امبرور,2,1,104,27.218941,33.834897,3,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6374294-for-sale-red-sea-hy-lkwthr/,"2,650,000
    جنيه",البحر الأحمر  /  حي الكوثر,1,1,52,27.22871,33.834897,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6082492-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,"3,182,000
    جنيه",البحر الأحمر  /  منتجع ايكونك - امبرور,1,1,74,27.218941,33.834897,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6110834-for-sale-cairo-el-sheikh-zayed-city-compounds-zyd-wr-llttwyr-park-towers-zed-el-sheikh-zayed-compound/,"12,000,000
    جنيه",القاهرة الكبرى  /  بارك تاورز - كمبوند زيد الشيخ زايد,3,3,161,30.053331,31.000425,8,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6178103-for-sale-cairo-new-cairo-compounds-dh-mdyn-ryzydns-yjy-jb/,"8,913,000
    جنيه",القاهرة الكبرى  /  ذا مديان ريزيدنس - إيجي جاب,2,2,127,30.072348,31.412412,6,بدون تشطيب
https://aqarmap.com.eg/ar/listing/6230334-for-sale-red-sea-hy-lkwthr/,"2,247,000
    جنيه",البحر الأحمر  /  حي الكوثر,1,1,42,27.22871,33.834897,2,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6089705-for-sale-red-sea-hy-lkwthr/,"3,645,000
    جنيه",البحر الأحمر  /  حي الكوثر,2,1,90,27.22871,33.834897,3,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6089816-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,"3,827,000
    جنيه",البحر الأحمر  /  منتجع ايكونك - امبرور,2,1,86,27.218941,33.834897,2,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6089764-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,"3,182,000
    جنيه",البحر الأحمر  /  منتجع ايكونك - امبرور,1,1,74,27.218941,33.834897,2,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6089539-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,"3,285,000
    جنيه",البحر الأحمر  /  منتجع ايكونك - امبرور,1,1,73,27.218941,33.834897,2,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6082893-for-sale-red-sea-hy-lkwthr/,"3,128,850
    جنيه",البحر الأحمر  /  حي الكوثر,1,1,75,27.22871,33.834897,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6089615-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,"3,150,000
    جنيه",البحر الأحمر  /  منتجع ايكونك - امبرور,1,1,70,27.218941,33.834897,2,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6080604-for-sale-red-sea-hy-lkwthr/,"2,400,000
    جنيه",البحر الأحمر  /  حي الكوثر,1,1,50,27.22871,33.834897,2,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6099111-for-sale-red-sea-hurghada-resorts-florenza-khamsin-eitc/,"2,560,467
    جنيه",البحر الأحمر  /  منتجع فلورنزا خمسين - ايه اي تي سي,1,1,53,27.1994,33.840391,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6089298-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,"3,139,000
    جنيه",البحر الأحمر  /  منتجع ايكونك - امبرور,1,1,73,27.218941,33.834897,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6088958-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,"4,576,000
    جنيه",البحر الأحمر  /  منتجع ايكونك - امبرور,2,1,104,27.218941,33.834897,3,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6088382-for-sale-red-sea-hy-lkwthr/,"2,730,000
    جنيه",البحر الأحمر  /  حي الكوثر,1,1,65,27.22871,33.834897,2,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6089319-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,"3,293,000
    جنيه",البحر الأحمر  /  منتجع ايكونك - امبرور,1,1,74,27.218941,33.834897,3,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6162063-for-sale-red-sea-hy-lkwthr/,"3,295,110
    جنيه",البحر الأحمر  /  حي الكوثر,1,1,71,27.22871,33.834897,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6162165-for-sale-red-sea-hurghada-resorts/,"3,372,500
    جنيه",البحر الأحمر  /  مبارك 6,1,1,71,27.22871,33.834897,2,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6086244-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,"3,526,000
    جنيه",البحر الأحمر  /  منتجع ايكونك - امبرور,2,1,82,27.218941,33.834897,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6279948-for-sale-red-sea-el-hadba-sheraton-st/,"3,928,050
    جنيه",البحر الأحمر  /  شارع الشيراتون,2,1,86,27.218941,33.834897,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6429395-for-sale-red-sea-el-hadba-sheraton-st/,"3,268,125
    جنيه",البحر الأحمر  /  شارع الشيراتون,1,1,75,27.218941,33.834897,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6508312-for-sale-cairo-new-cairo-compounds-lakeview-residence/,"18,000,000
    جنيه",القاهرة الكبرى  /  ليك فيو ريزيدنس - الحاذق,3,3,204,30.024799,31.533262,2,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6117377-for-sale-cairo-old-cairo-el-fostat-lfstt-ljdyd-arabesque-compound-sed/,"3,800,000
    جنيه",كمبوند ارابيسك - الشركة السعودية المصرية,2,3,153,30.005774,31.242124,3,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6028013-for-sale-cairo-new-cairo-compounds-kmbwnd-lnkhyl/,"8,500,000
    جنيه",كمبوند النخيل,4,3,245,30.06284,31.428892,الارضي,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6491440-for-sale-cairo-new-cairo-el-lotus-lotus-north-lmntq-lthny-llwts-lshmly/,"3,800,000
    جنيه",القاهرة الكبرى  /  المنطقة الثانية - اللوتس الشمالية,3,2,120,30.043821,31.522275,4,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6374062-for-sale-red-sea-el-ahyaa/,"3,600,000
    جنيه",البحر الأحمر  /  الاحياء,1,1,72,27.248246,33.829404,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6424605-for-sale-red-sea-el-hadba-sheraton-st/,"3,843,932
    جنيه",البحر الأحمر  /  شارع الشيراتون,1,1,76,27.218941,33.834897,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6454798-for-sale-red-sea-hurghada-resorts-one-7-resort-ronberg/,"9,141,000
    جنيه",البحر الأحمر  /  منتجع وان سيفن - كرونبرج,3,1,125,27.111423,33.818418,1,سوبر لوكس
