URL,Price,Address,Area,Rooms,Baths,Lat,Lon
https://aqarmap.com.eg/ar/listing/6588563-for-sale-cairo-el-zaytun-lzytwn-lshrqy-toman-bai-st/,"2,000,000 جنيه",القاهرة الكبرى  /  شارع طومان باي,135 متر²,3,1,30.102366,31.311035
https://aqarmap.com.eg/ar/listing/6588298-for-sale-cairo-al-oubour-el-hay-el-sabaa-aziz-el-masry-st/,"3,000,000 جنيه",القاهرة الكبرى  /  شارع عزيز المصري,150 متر²,3,2,30.197366,31.459351
https://aqarmap.com.eg/ar/listing/6588518-for-sale-cairo-6th-of-october-compounds-mountain-view-icity-october-mv-park-mountain-view-icity-october/,"5,350,000 جنيه",القاهرة الكبرى  /  ماونتن فيو بارك - كمبوند ماونتن فيو اى سيتى أكتوبر,145 متر²,3,2,30.007274,30.921021
https://aqarmap.com.eg/ar/listing/6588540-for-sale-cairo-el-sheikh-zayed-city-compounds-kmbwnd-fyldj-wyst-dr-llttwyr/,"10,500,000 جنيه",القاهرة الكبرى  /  كمبوند فيلدج ويست - درة,149 متر²,3,3,30.045321,31.019897
https://aqarmap.com.eg/ar/listing/6586177-for-sale-alexandria-glim-shr-bw-qyr-tryq-lhry/,"5,000,000 جنيه",الاسكندرية  /  شارع أبو قير - طريق الحرية,140 متر²,1,2,31.245682,29.954224
https://aqarmap.com.eg/ar/listing/6587805-for-sale-cairo-el-sheikh-zayed-city-compounds-coy-compound-voya/,"5,500,000 جنيه",القاهرة الكبرى  /  كمبوند كوي - فويا ,111 متر²,2,2,30.06434,31.003418
https://aqarmap.com.eg/ar/listing/6588697-for-sale-cairo-el-sheikh-zayed-city-compounds-jn-zyd/,"5,200,000 جنيه",القاهرة الكبرى  /  جنة زايد,130 متر²,3,2,30.045321,30.975952
https://aqarmap.com.eg/ar/listing/6588034-for-sale-cairo-faisal-shareaa-el-malek-fasel/,"2,950,000 جنيه",القاهرة الكبرى  /  شارع الملك فيصل,185 متر²,3,2,30.016787,31.184692
https://aqarmap.com.eg/ar/listing/6588536-for-sale-cairo-ain-shams-ain-shams-el-sharkia-abd-el-hamid-othman-st/,"1,850,000 جنيه",القاهرة الكبرى  /  شارع عبد الحميد عثمان,125 متر²,3,1,30.140377,31.322021
https://aqarmap.com.eg/ar/listing/6587779-for-sale-cairo-el-sheikh-zayed-city-compounds-coy-compound-voya/,"6,250,000 جنيه",القاهرة الكبرى  /  كمبوند كوي - فويا ,135 متر²,3,2,30.06434,31.003418
https://aqarmap.com.eg/ar/listing/6588690-for-sale-cairo-el-sheikh-zayed-city-compounds-el-khamayel/,"5,300,000 جنيه",القاهرة الكبرى  /  الخمائل,151 متر²,2,1,30.035811,31.025391
https://aqarmap.com.eg/ar/listing/6588118-for-sale-cairo-faisal-shareaa-el-malek-fasel/,"1,560,000 جنيه",القاهرة الكبرى  /  شارع الملك فيصل,141 متر²,3,1,30.016787,31.184692
https://aqarmap.com.eg/ar/listing/6588675-for-sale-cairo-el-sheikh-zayed-city-compounds-zyd-wr-llttwyr-park-towers-zed-el-sheikh-zayed-compound/,"12,000,000 جنيه",القاهرة الكبرى  /  بارك تاورز - كمبوند زيد الشيخ زايد,160 متر²,3,3,30.054831,30.997925
https://aqarmap.com.eg/ar/listing/6588131-for-sale-cairo-faisal-shareaa-el-malek-fasel/,"1,570,000 جنيه",القاهرة الكبرى  /  شارع الملك فيصل,143 متر²,3,1,30.016787,31.184692
https://aqarmap.com.eg/ar/listing/6601606-for-sale-red-sea-hurghada-resorts-scandic-resort-eitc/,"6,228,426 جنيه",البحر الأحمر  /  منتجع سكانديك - ايه اي تي سي,77 متر²,1,1,27.249746,33.837891
https://aqarmap.com.eg/ar/listing/6587512-for-sale-cairo-el-sheikh-zayed-city-lshykh-zyd-ljdyd-west-view-residence-hdp/,"10,566,075 جنيه",القاهرة الكبرى  /  ويست فيو ريزيدنس - اتش دي بي,150 متر²,3,2,30.06434,30.893555
https://aqarmap.com.eg/ar/listing/6588025-for-sale-cairo-new-cairo-bait-el-watan-second-neighborhood/,"3,700,000 جنيه",القاهرة الكبرى  /  الحي الثاني,191 متر²,3,2,30.073848,31.541748
https://aqarmap.com.eg/ar/listing/6585549-for-sale-cairo-6th-of-october-compounds-new-giza-wyst-rydj-ryzydns-nyw-jyz-llttwyr-l-qry/,"21,000,000 جنيه",القاهرة الكبرى  /  ويست ريدج - كمبوند نيو جيزة,215 متر²,3,3,29.99776,31.063843
https://aqarmap.com.eg/ar/listing/6588006-for-sale-cairo-new-cairo-compounds-lakeview-residence/,"13,500,000 جنيه",القاهرة الكبرى  /  ليك فيو ريزيدنس - الحاذق,125 متر²,2,2,30.026299,31.530762
https://aqarmap.com.eg/ar/listing/6587589-for-sale-north-coast-new-alamein-mntj-t-l-lmyn-ljdyd-dwn-twn-l-lmyn-ljdyd/,"6,780,000 جنيه",الساحل الشمالي  /  داون تاون - العلمين الجديدة - سيتى ايدج,115 متر²,2,1,30.850363,28.916016
https://aqarmap.com.eg/ar/listing/6587534-for-sale-cairo-6th-of-october-compounds-new-giza-wyst-rydj-ryzydns-nyw-jyz-llttwyr-l-qry/,"21,000,000 جنيه",القاهرة الكبرى  /  ويست ريدج - كمبوند نيو جيزة,215 متر²,4,3,29.99776,31.063843
https://aqarmap.com.eg/ar/listing/6587949-for-sale-cairo-6th-of-october-compounds-kmbwnd-b-twn-ryl-styt-llttwyr/,"3,470,000 جنيه",القاهرة الكبرى  /  كمبوند أب تاون أكتوبر,170 متر²,3,3,29.912091,30.805664
https://aqarmap.com.eg/ar/listing/6587564-for-sale-cairo-new-cairo-lmstqbl-syty-compounds-green-square/,"5,000,000 جنيه",القاهرة الكبرى  /  كمبوند جرين سكوير - الاهلي صبور,165 متر²,3,3,30.054831,31.629639
https://aqarmap.com.eg/ar/listing/6587863-for-sale-cairo-el-sheikh-zayed-city-el-hay-elthamen-area-2/,"6,000,000 جنيه",القاهرة الكبرى  /  المجاورة الثانية,200 متر²,3,2,30.035811,30.970459
