URL,Price,State,Rooms,Baths,Area,Lat,Lon,Floor,Finishing
https://aqarmap.com.eg/ar/listing/6622201-for-sale-cairo-new-heliopolis-compounds-talala-compound-madinet-masr/,"1,431,000 جنيه",القاهرة الكبرى / كمبوند طلالة - مدينة مصر,1,1,35,30.138877,31.68707,الارضي,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6623118-for-sale-cairo-dokki-shr-lthwr/,"10,700,000 جنيه",القاهرة الكبرى / شارع الثورة,3,4,230,30.053331,31.203672,6,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6057713-for-sale-cairo-new-cairo-new-narges/,"4,800,000 جنيه",القاهرة الكبرى / النرجس الجديدة,N/A,N/A,165,29.99626,31.456357,N/A,N/A
https://aqarmap.com.eg/ar/listing/6590389-for-sale-cairo-new-cairo-compounds-sarai-elan-sarai-compound/,"9,000,000 جنيه",القاهرة الكبرى / ايلان - كمبوند سراي,3,3,150,30.100866,31.698057,1,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6061076-for-sale-cairo-new-cairo-bait-el-watan-fourth-neighborhood/,"4,943,000 جنيه",القاهرة الكبرى / الحي الرابع,3,3,186,30.053331,31.555234,2,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6585659-for-sale-cairo-new-cairo-compounds-hyde-park-centre-ville-hyde-park/,"9,370,000 جنيه",,2,3,101,29.977228,31.544248,1,بدون تشطيب
https://aqarmap.com.eg/ar/listing/6057799-for-sale-cairo-new-cairo-bait-el-watan-shml-byt-lwtn/,"3,697,500 جنيه",القاهرة الكبرى / شمال بيت الوطن,3,3,145,30.081855,31.549741,4,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6592904-for-sale-cairo-new-cairo-compounds-ninety-avenue/,"13,000,000 جنيه",القاهرة الكبرى / كمبوند 90 أفينيو - تبارك,2,2,137,30.024799,31.489316,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6057823-for-sale-cairo-new-cairo-bait-el-watan-fifth-neighborhood/,"4,938,790 جنيه",القاهرة الكبرى / الحي الخامس,3,3,195,30.06284,31.566221,3,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6592966-for-sale-cairo-new-cairo-compounds-villette-kmbwnd-sky-kwndwz-swdyk-villette/,"15,880,000 جنيه",القاهرة الكبرى / كمبوند سكاي كوندوز - فيليت,3,3,162,30.024799,31.544248,1,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6057832-for-sale-cairo-new-cairo-bait-el-watan-fifth-neighborhood/,"5,177,665 جنيه",القاهرة الكبرى / الحي الخامس,3,3,195,30.06284,31.566221,1,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6585603-for-sale-cairo-el-shorouk-compounds-al-burouj-compound-imkan/,"5,350,500 جنيه",القاهرة الكبرى / كمبوند البروج - إمكان,3,3,132,30.195866,31.659604,الارضي,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6067519-for-sale-cairo-new-cairo-llwts-ljdyd/,"5,358,500 جنيه",القاهرة الكبرى / اللوتس الجديدة,3,3,181,30.024799,31.516782,2,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6592993-for-sale-cairo-new-cairo-compounds-el-patio-oro/,"9,000,000 جنيه",القاهرة الكبرى / كمبوند الباتيو أورو - لافيستا,3,2,168,30.034311,31.588193,1,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6603453-for-sale-cairo-new-cairo-el-narges-el-narges-omarat-mohamed-sabry-abu-alam-st/,"3,500,000 جنيه",القاهرة الكبرى / شارع محمد صبري ابو علم,3,2,140,30.005774,31.456357,1,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6571029-for-sale-cairo-mokattam-el-hadabah-el-wosta-el-mantaqa-el-tanya/,"3,600,000 جنيه",القاهرة الكبرى / الحي الثاني,3,2,200,30.005774,31.291563,2,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6551448-for-sale-cairo-al-oubour-el-hay-el-sades-ibn-el-haitham-st/,"9,500,000 جنيه",,N/A,N/A,350,30.205361,31.467344,N/A,N/A
